"id","name","shortName","classification"
1,"ACC","Atlantic Coast Conference","fbs"
4,"Big 12","Big 12 Conference","fbs"
5,"Big Ten","Big Ten Conference","fbs"
12,"Conference USA","Conference USA","fbs"
18,"FBS Independents","FBS Independents","fbs"
15,"Mid-American","Mid-American Conference","fbs"
17,"Mountain West","Mountain West Conference","fbs"
9,"Pac-12","Pac-12 Conference","fbs"
8,"SEC","Southeastern Conference","fbs"
37,"Sun Belt","Sun Belt Conference","fbs"
151,"American Athletic","American Athletic Conference","fbs"
220,"Pac-10","Pacific 10","fbs"
222,"Big East","Big East Conference","fbs"
175,"AWC","ASUN-WAC Challenge","fcs"
20,"Big Sky","Big Sky Conference","fcs"
40,"Big South","Big South Conference","fcs"
48,"CAA","Colonial Athletic Association","fcs"
22,"Ivy","Ivy League","fcs"
24,"MEAC","Mid-Eastern Athletic Conference","fcs"
21,"MVFC","Missouri Valley Football Conference","fcs"
25,"NEC","Northeast Conference","fcs"
26,"OVC","Ohio Valley Conference","fcs"
27,"Patriot","Patriot League","fcs"
28,"Pioneer","Pioneer Football League","fcs"
31,"SWAC","Southwestern Athletic Conference","fcs"
29,"Southern","Southern Conference","fcs"
30,"Southland","Southland Conference","fcs"
114,"American Rivers","American Rivers Conference","iii"
100,"American Southwest","American Southwest","iii"
102,"CCIW","CCIW","iii"
103,"Centennial","Centennial","iii"
123,"Commonwealth Coast","Commonwealth Coast Conference","iii"
105,"ECFC","ECFC","iii"
106,"Empire 8","Empire 8","iii"
111,"Heartland","Heartland","iii"
214,"Big 8","Big 8 Conference","fbs"
216,"Pac-8","Pacific 8 Conference","fbs"
202,"Missouri Valley","Missouri Valley Intercollegiate Athletic Association","fbs"
203,"Rocky Mountain","Rocky Mountain Conference","fbs"
204,"Southwest","Southwest Conference","fbs"
205,"Pacific","Pacific Coast Conference","fbs"
206,"Southern","Southern Conference","fbs"
207,"Big 6","Big 6 Conference","fbs"
208,"Missouri Valley","Missouri Valley Conference","fbs"
223,"Border","Border Intercollegiate Athletic Association","fbs"
209,"Mountain State","Mountain State Athletic Conference","fbs"
210,"Big 7","Big 7 Conference","fbs"
211,"Skyline","Skyline Conference","fbs"
113,"Independent DIII","Independent DIII","iii"
115,"Liberty League","Liberty League","iii"
160,"MSCAC","Massachusetts State Collegiate Athletic Conference","iii"
117,"Michigan","Michigan","iii"
119,"Mid Atlantic","Middle Atlantic Conference","iii"
120,"Midwest","Midwest","iii"
121,"Minnesota","Minnesota","iii"
128,"NACC","Northern Athletics Collegiate Conference","iii"
122,"NESCAC","NESCAC","iii"
166,"NEWMAC","New England Women's and Men's Athletic Conference","iii"
124,"New Jersey","New Jersey","iii"
126,"North Coast","North Coast","iii"
130,"Northwest","Northwest","iii"
131,"Ohio","Ohio","iii"
132,"Old Dominion","Old Dominion","iii"
134,"Presidents'","Presidents'","iii"
138,"So. Cal.","So. Cal.","iii"
147,"Southern Athletic","Southern Athletic Association","iii"
143,"USA South","USA South","iii"
142,"Upper Midwest","Upper Midwest","iii"
145,"Wisconsin","Wisconsin","iii"
104,"CIAA","CIAA","ii"
107,"GLIAC","GLIAC","ii"
146,"Great American","Great American Conference","ii"
108,"Great Lakes","Great Lakes","ii"
165,"Great Midwest Athletic","Great Midwest Athletic Conference","ii"
109,"Great Northwest","Great Northwest","ii"
110,"Gulf South","Gulf South","ii"
112,"Independent DII","Independent DII","ii"
116,"Lone Star","Lone Star","ii"
118,"Mid America","Mid America","ii"
144,"Mountain East","Mountain East Conference","ii"
127,"Northeast 10","Northeast 10","ii"
129,"Northern Sun","Northern Sun","ii"
133,"Pennsylvania State Athletic","Pennsylvania State Athletic Conference","ii"
135,"Rocky Mountain","Rocky Mountain","ii"
136,"SIAC","SIAC","ii"
139,"South Atlantic","South Atlantic","ii"
212,"Ivy","The Ivy League","fbs"
213,"AAWU","Athletic Association of Western Universities","fbs"
215,"Western Athletic","Western Athletic Conference","fbs"
217,"PCAA","Pacific Coast Athletic Association","fbs"
218,"Southland","Southland Conference","fbs"
219,"SWAC","Southwest Athletic Conference","fbs"
221,"Big West","Big West Conference","fbs"
201,"Western","Western Conference","fbs"
176,"Atlantic Sun","Atlantic Sun Conference","fcs"
16,"Western Athletic","Western Athletic Conference","fcs"
32,"FCS Independents","FCS Independents","fcs"
148,"Southern Collegiate Athletic","Southern Collegiate Athletic Conference","iii"
141,"University","University","iii"
43,"Great West","Great West Conference","fcs"
23,"Metro Atlantic Athletic","Metro Atlantic Athletic Conference","fcs"
19,"Atlantic 10","Atlantic 10 Conference","fcs"
179,"Big South-OVC","Big South-OVC Association","fcs"
177,"UAC","United Athletic Conference","fcs"
178,"Landmark Conference","Landmark Conference","iii"
