"season","seasonType","week","poll","rank","school","conference","points","year","points_missing"
2015,"postseason",1,"Coaches Poll",12,"Notre Dame","FBS Independents",781,2015,0
2015,"postseason",1,"Coaches Poll",24,"Georgia","SEC",173,2015,0
2015,"postseason",1,"Coaches Poll",25,"Florida","SEC",141,2015,0
2015,"postseason",1,"Coaches Poll",23,"Tennessee","SEC",190,2015,0
2015,"postseason",1,"Coaches Poll",19,"Oklahoma State","Big 12",392,2015,0
2015,"postseason",1,"Coaches Poll",13,"Baylor","Big 12",763,2015,0
2015,"postseason",1,"Coaches Poll",7,"TCU","Big 12",1020,2015,0
2015,"postseason",1,"Coaches Poll",20,"Oregon","Pac-12",356,2015,0
2015,"postseason",1,"Coaches Poll",3,"Stanford","Pac-12",1235,2015,0
2015,"postseason",1,"Coaches Poll",17,"LSU","SEC",485,2015,0
2015,"postseason",1,"Coaches Poll",16,"Utah","Pac-12",499,2015,0
2015,"postseason",1,"Coaches Poll",8,"Houston","American Athletic",928,2015,0
2015,"postseason",1,"Coaches Poll",18,"Navy","American Athletic",402,2015,0
2015,"postseason",1,"Coaches Poll",1,"Alabama","SEC",1400,2015,0
2015,"postseason",1,"Coaches Poll",9,"Ole Miss","SEC",919,2015,0
2015,"postseason",1,"Coaches Poll",14,"Florida State","ACC",645,2015,0
2015,"postseason",1,"Coaches Poll",2,"Clemson","ACC",1344,2015,0
2015,"postseason",1,"Coaches Poll",15,"North Carolina","ACC",543,2015,0
2015,"postseason",1,"Coaches Poll",4,"Ohio State","Big Ten",1231,2015,0
2015,"postseason",1,"Coaches Poll",6,"Michigan State","Big Ten",1121,2015,0
2015,"postseason",1,"Coaches Poll",11,"Michigan","Big Ten",812,2015,0
2015,"postseason",1,"Coaches Poll",21,"Wisconsin","Big Ten",307,2015,0
2015,"postseason",1,"Coaches Poll",10,"Iowa","Big Ten",862,2015,0
2015,"postseason",1,"Coaches Poll",22,"Northwestern","Big Ten",207,2015,0
2015,"postseason",1,"Coaches Poll",5,"Oklahoma","Big 12",1172,2015,0
2015,"postseason",1,"AP Top 25",11,"Notre Dame","FBS Independents",953,2015,0
2015,"postseason",1,"AP Top 25",25,"Florida","SEC",126,2015,0
2015,"postseason",1,"AP Top 25",22,"Tennessee","SEC",260,2015,0
2015,"postseason",1,"AP Top 25",20,"Oklahoma State","Big 12",372,2015,0
2015,"postseason",1,"AP Top 25",13,"Baylor","Big 12",820,2015,0
2015,"postseason",1,"AP Top 25",7,"TCU","Big 12",1098,2015,0
2015,"postseason",1,"AP Top 25",19,"Oregon","Pac-12",391,2015,0
2015,"postseason",1,"AP Top 25",3,"Stanford","Pac-12",1360,2015,0
2015,"postseason",1,"AP Top 25",16,"LSU","SEC",546,2015,0
2015,"postseason",1,"AP Top 25",17,"Utah","Pac-12",499,2015,0
2015,"postseason",1,"AP Top 25",24,"Western Kentucky","Conference USA",128,2015,0
2015,"postseason",1,"AP Top 25",8,"Houston","American Athletic",1050,2015,0
2015,"postseason",1,"AP Top 25",18,"Navy","American Athletic",465,2015,0
2015,"postseason",1,"AP Top 25",1,"Alabama","SEC",1525,2015,0
2015,"postseason",1,"AP Top 25",10,"Ole Miss","SEC",975,2015,0
2015,"postseason",1,"AP Top 25",14,"Florida State","ACC",630,2015,0
2015,"postseason",1,"AP Top 25",2,"Clemson","ACC",1464,2015,0
2015,"postseason",1,"AP Top 25",15,"North Carolina","ACC",563,2015,0
2015,"postseason",1,"AP Top 25",4,"Ohio State","Big Ten",1342,2015,0
2015,"postseason",1,"AP Top 25",6,"Michigan State","Big Ten",1227,2015,0
2015,"postseason",1,"AP Top 25",12,"Michigan","Big Ten",911,2015,0
2015,"postseason",1,"AP Top 25",21,"Wisconsin","Big Ten",332,2015,0
2015,"postseason",1,"AP Top 25",9,"Iowa","Big Ten",981,2015,0
2015,"postseason",1,"AP Top 25",23,"Northwestern","Big Ten",203,2015,0
2015,"postseason",1,"AP Top 25",5,"Oklahoma","Big 12",1270,2015,0
2015,"postseason",1,"FCS Coaches Poll",18,"Southern Utah","Big Sky",204,2015,0
2015,"postseason",1,"FCS Coaches Poll",3,"Richmond","CAA",560,2015,0
2015,"postseason",1,"FCS Coaches Poll",12,"William & Mary","CAA",317,2015,0
2015,"postseason",1,"FCS Coaches Poll",11,"James Madison","CAA",319,2015,0
2015,"postseason",1,"FCS Coaches Poll",2,"Jacksonville State","OVC",597,2015,0
2015,"postseason",1,"FCS Coaches Poll",4,"Sam Houston","Southland",538,2015,0
2015,"postseason",1,"FCS Coaches Poll",25,"Bethune-Cookman","MEAC",47,2015,0
2015,"postseason",1,"FCS Coaches Poll",21,"North Carolina A&T","MEAC",107,2015,0
2015,"postseason",1,"FCS Coaches Poll",13,"Colgate","Patriot",297,2015,0
2015,"postseason",1,"FCS Coaches Poll",19,"Fordham","Patriot",171,2015,0
2015,"postseason",1,"FCS Coaches Poll",17,"Coastal Carolina","Big South",251,2015,0
2015,"postseason",1,"FCS Coaches Poll",7,"Charleston Southern","Big South",460,2015,0
2015,"postseason",1,"FCS Coaches Poll",20,"Harvard","Ivy",117,2015,0
